Valueset OID,Code,Display,Code System OID,Status,Date,FHIR ValueSet Identifier,FHIR Code System URI
,109020,"Diastolic pressure, average",,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109021,Diastolic pressure nadir,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109022,End diastole,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109023,End of expiration,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109024,End of inspiration,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109025,Max dp/dt,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109026,Max neg dp/dt,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109027,Mean blood pressure,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109028,Peak of thermal cardiac output bolus,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109029,Start of expiration,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109030,Start of inspiration,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109031,Start of thermal cardiac output bolus,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109032,"Systolic pressure, average",,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109033,Systolic peak pressure,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109034,V wave peak pressure,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109035,"V wave pressure, average",,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109036,Valve close,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109037,Valve open,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109038,Ablation off,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109039,Ablation on,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109040,HIS bundle wave,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109041,P wave,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109042,Q wave,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109043,R wave,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109044,S wave,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109045,Start of atrial contraction,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109046,Start of atrial contraction (subsequent),,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109047,Stimulation at rate 1 interval,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109048,Stimulation at rate 2 interval,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109049,Stimulation at rate 3 interval,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109050,Stimulation at rate 4 interval,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109051,T wave,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109052,V wave,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109053,V wave of next beat,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109054,Patient State,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109055,Protocol Stage,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109056,Stress Protocol,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109057,Catheterization Procedure Phase,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109058,Contrast Phase,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109059,Physiological challenges,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109060,Procedure Step Number,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109061,EP Procedure Phase,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109063,Pulse train definition,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109070,End of systole,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109071,Indicator mean transit time,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109072,Tau,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109073,V max myocardial,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109091,Cardiac Stress State,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109092,Reinjection State,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109093,Redistribution State,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109094,Delayed Redistribution State,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109095,Peak stress state,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109096,Recovery state,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109101,Acquisition Equipment,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109102,Processing Equipment,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109103,Modifying Equipment,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109104,De-identifying Equipment,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109105,Frame Extracting Equipment,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109110,Voice,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109111,Operator’s narrative,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109112,Ambient room environment,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109113,Doppler audio,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109114,Phonocardiogram,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109115,Physiological audio signal,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109116,Arterial Pulse Waveform,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109117,Respiration Waveform,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109120,On admission to unit,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109121,On discharge,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109122,On discharge from unit,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109123,Pre-intervention,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109124,Post-intervention,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109125,At last appointment,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109132,Joint position method,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109133,Physical force,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109134,Prior to voiding,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109135,Post voiding,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109136,Neutral musculoskeletal position,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109200,America Kennel Club,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109201,America’s Pet Registry Inc.,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109202,American Canine Association,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109203,American Purebred Registry,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109204,American Rare Breed Association,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109205,Animal Registry Unlimited,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109206,Animal Research Foundation,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109207,Canadian Border Collie Association,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109208,Canadian Kennel Club,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109209,Canadian Livestock Records Association,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109210,Canine Federation of Canada,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109211,Continental Kennel Club,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109212,Dog Registry of America,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109213,Federation of International Canines,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109214,International Progressive Dog Breeders’ Alliance,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109215,National Kennel Club,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109216,North American Purebred Dog Registry,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109217,United All Breed Registry,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109218,United Kennel Club,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109219,Universal Kennel Club International,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109220,Working Canine Association of Canada,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109221,World Kennel Club,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,109222,World Wide Kennel Club,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110020,Sheet Film Digitized,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110021,Cine Film Digitized,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110022,Video Tape Digitized,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110023,Paper Digitized,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110024,CD Imported,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110025,DVD Imported,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110026,MOD Imported,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110027,Studies Imported,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110028,Instances Imported,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110100,Application Activity,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110101,Audit Log Used,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110102,Begin Transferring DICOM Instances,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110103,DICOM Instances Accessed,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110104,DICOM Instances Transferred,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110105,DICOM Study Deleted,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110106,Export,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110107,Import,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110108,Network Entry,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110109,Order Record,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110110,Patient Record,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110111,Procedure Record,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110112,Query,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110113,Security Alert,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110114,User Authentication,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110120,Application Start,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110121,Application Stop,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110122,Login,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110123,Logout,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110124,Attach,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110125,Detach,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110126,Node Authentication,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110127,Emergency Override Started,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110128,Network Configuration,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110129,Security Configuration,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110130,Hardware Configuration,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110131,Software Configuration,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110132,Use of Restricted Function,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110133,Audit Recording Stopped,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110134,Audit Recording Started,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110135,Object Security Attributes Changed,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110136,Security Roles Changed,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110137,User security Attributes Changed,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110150,Application,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110151,Application Launcher,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110152,Destination Role ID,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110153,Source Role ID,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110154,Destination Media,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110155,Source Media,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110180,Study Instance UID,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110181,SOP Class UID,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110182,Node ID,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110138,Emergency Override Stopped,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110139,Remote Service Operation Started,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110140,Remote Service Operation Stopped,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110141,Local Service Operation Started,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110142,Local Service Operation Stopped,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110030,USB Disk Emulation,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110031,Email,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110032,CD,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110033,DVD,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110034,Compact Flash,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110035,Multi-media Card,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110036,Secure Digital Card,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110037,URI,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110038,Paper Document,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110190,Issuer of Identifier,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110500,Doctor cancelled procedure,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110501,Equipment failure,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110502,Incorrect procedure ordered,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110503,Patient allergic to media/contrast,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110504,Patient died,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110505,Patient refused to continue procedure,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110506,Patient taken for treatment or surgery,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110507,Patient did not arrive,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110508,Patient pregnant,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110509,Change of procedure for correct charging,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110510,Duplicate order,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110511,Nursing unit cancel,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110512,Incorrect side ordered,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110513,Discontinued for unspecified reason,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110514,Incorrect worklist entry selected,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110515,Patient condition prevented continuing,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110516,Equipment change,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110518,Patient Movement,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110519,Operator Error,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110521,Objects incorrectly formatted,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110522,Object Types not supported,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110523,Object Set incomplete,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110524,Media Failure,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110526,Resource pre-empted,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110527,Resource inadequate,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110528,Discontinued Procedure Step rescheduled,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110529,Discontinued Procedure Step rescheduling recommended,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110001,Image Processing,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110002,Quality Control,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110003,Computer Aided Diagnosis,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110004,Computer Aided Detection,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110005,Interpretation,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110006,Transcription,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110007,Report Verification,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110008,Print,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110009,No subsequent  Workitems,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110010,Film,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110011,Dictation,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110012,Transcription,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110013,Media Import,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110800,Spin Tagging Perfusion MR Signal Intensity,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110801,Contrast Agent Angio MR Signal Intensity,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110802,Time Of Flight Angio MR Signal Intensity,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110803,Proton Density Weighted MR Signal Intensity,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110804,T1 Weighted MR Signal Intensity,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110805,T2 Weighted MR Signal Intensity,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110806,T2* Weighted MR Signal Intensity,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110807,Field Map MR Signal Intensity,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110808,Fractional Anisotropy,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110809,Relative Anisotropy,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110810,Volumetric Diffusion Dxx Component,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110811,Volumetric Diffusion Dxy Component,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110812,Volumetric Diffusion Dxz Component,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110813,Volumetric Diffusion Dyy Component,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110814,Volumetric Diffusion Dyz Component,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110815,Volumetric Diffusion Dzz Component,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110816,T1 Weighted Dynamic Contrast Enhanced MR Signal Intensity,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110817,T2 Weighted Dynamic Contrast Enhanced MR Signal Intensity,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110818,T2* Weighted Dynamic Contrast Enhanced MR Signal Intensity,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
,110819,Blood Oxygenation Level,,active,2010-08-26,http://nema.org/dicom/vs/dcid,http://nema.org/dicom/dcid
